Ticker,Industry
CLEBI,Airlines & Transportation
DOCO,Airlines & Transportation
KORDS,Airlines & Transportation
PGSUS,Airlines & Transportation
TAVHL,Airlines & Transportation
THYAO,Airlines & Transportation
GARAN,Banking
QNBFB,Banking
HALKB,Banking
ISCTR,Banking
VAKBN,Banking
YKBNK,Banking
BIMAS,Consumer & Retail
BIZIM,Consumer & Retail
MAVI,Consumer & Retail
MGROS,Consumer & Retail
SOKM,Consumer & Retail
ULKER,Consumer & Retail
ARCLK,Industrials
ASELS,Industrials
EREGL,Industrials
KRDMD,Industrials
TOASO,Industrials
TUPRS,Industrials
ARDYZ,Technology
ARENA,Technology
DESPC,Technology
KAREL,Technology
LOGO,Technology
PAPIL,Technology
